age,N,year,country,source
0,1402.5515,2014,Uganda,UN WPP
1,1367.9,2014,Uganda,UN WPP
2,1338.043,2014,Uganda,UN WPP
3,1307.6935,2014,Uganda,UN WPP
4,1275.5805,2014,Uganda,UN WPP
5,1240.983,2014,Uganda,UN WPP
6,1210.962,2014,Uganda,UN WPP
7,1185.021,2014,Uganda,UN WPP
8,1157.1675,2014,Uganda,UN WPP
9,1129.0975,2014,Uganda,UN WPP
10,1097.629,2014,Uganda,UN WPP
11,1064.798,2014,Uganda,UN WPP
12,1033.458,2014,Uganda,UN WPP
13,999.499,2014,Uganda,UN WPP
14,965.6885,2014,Uganda,UN WPP
15,931.026,2014,Uganda,UN WPP
16,899.366,2014,Uganda,UN WPP
17,869.1735,2014,Uganda,UN WPP
18,841.184,2014,Uganda,UN WPP
19,811.4705,2014,Uganda,UN WPP
20,775.245,2014,Uganda,UN WPP
21,739.498,2014,Uganda,UN WPP
22,701.513,2014,Uganda,UN WPP
23,665.23,2014,Uganda,UN WPP
24,630.623,2014,Uganda,UN WPP
25,595.6165,2014,Uganda,UN WPP
26,562.251,2014,Uganda,UN WPP
27,528.523,2014,Uganda,UN WPP
28,494.5795,2014,Uganda,UN WPP
29,461.3485,2014,Uganda,UN WPP
30,431.2345,2014,Uganda,UN WPP
31,406.3295,2014,Uganda,UN WPP
32,384.8355,2014,Uganda,UN WPP
33,365.161,2014,Uganda,UN WPP
34,348.327,2014,Uganda,UN WPP
35,333.508,2014,Uganda,UN WPP
36,319.9005,2014,Uganda,UN WPP
37,308.653,2014,Uganda,UN WPP
38,297.9915,2014,Uganda,UN WPP
39,286.543,2014,Uganda,UN WPP
40,276.0115,2014,Uganda,UN WPP
41,267.455,2014,Uganda,UN WPP
42,258.352,2014,Uganda,UN WPP
43,248.0255,2014,Uganda,UN WPP
44,236.999,2014,Uganda,UN WPP
45,226.0215,2014,Uganda,UN WPP
46,214.325,2014,Uganda,UN WPP
47,201.7465,2014,Uganda,UN WPP
48,189.516,2014,Uganda,UN WPP
49,177.8375,2014,Uganda,UN WPP
50,167.024,2014,Uganda,UN WPP
51,157.061,2014,Uganda,UN WPP
52,147.896,2014,Uganda,UN WPP
53,139.473,2014,Uganda,UN WPP
54,131.999,2014,Uganda,UN WPP
55,124.8645,2014,Uganda,UN WPP
56,117.856,2014,Uganda,UN WPP
57,111.3285,2014,Uganda,UN WPP
58,105.0825,2014,Uganda,UN WPP
59,99.218,2014,Uganda,UN WPP
60,93.624,2014,Uganda,UN WPP
61,88.1315,2014,Uganda,UN WPP
62,82.7865,2014,Uganda,UN WPP
63,77.8005,2014,Uganda,UN WPP
64,73.641,2014,Uganda,UN WPP
65,66.9645,2014,Uganda,UN WPP
66,57.692,2014,Uganda,UN WPP
67,49.893,2014,Uganda,UN WPP
68,43.959,2014,Uganda,UN WPP
69,39.1965,2014,Uganda,UN WPP
70,34.8735,2014,Uganda,UN WPP
71,31.5035,2014,Uganda,UN WPP
72,29.0505,2014,Uganda,UN WPP
73,26.725,2014,Uganda,UN WPP
74,24.514,2014,Uganda,UN WPP
75,22.377,2014,Uganda,UN WPP
76,20.2775,2014,Uganda,UN WPP
77,18.2035,2014,Uganda,UN WPP
78,16.1565,2014,Uganda,UN WPP
79,14.165,2014,Uganda,UN WPP
80,12.2495,2014,Uganda,UN WPP
81,10.448,2014,Uganda,UN WPP
82,8.7765,2014,Uganda,UN WPP
83,7.232,2014,Uganda,UN WPP
84,5.8465,2014,Uganda,UN WPP
85,4.6315,2014,Uganda,UN WPP
86,3.598,2014,Uganda,UN WPP
87,2.7385,2014,Uganda,UN WPP
88,2.0365,2014,Uganda,UN WPP
89,1.4745,2014,Uganda,UN WPP
90,1.0325,2014,Uganda,UN WPP
91,0.693,2014,Uganda,UN WPP
92,0.443,2014,Uganda,UN WPP
93,0.259,2014,Uganda,UN WPP
94,0.1405,2014,Uganda,UN WPP
95,0.0695,2014,Uganda,UN WPP
96,0.025,2014,Uganda,UN WPP
97,0.008,2014,Uganda,UN WPP
98,0.0035,2014,Uganda,UN WPP
99,0.002,2014,Uganda,UN WPP
100,0.0025,2014,Uganda,UN WPP
